,precision,recall,f1-score,support
Normal,1.0,1.0,1.0,100.0
Sinkhole,0.99,0.99,0.99,100.0
Sybil,1.0,1.0,1.0,100.0
Selective Forwarding,0.9803921568627451,1.0,0.99009900990099,100.0
Hello Flood,1.0,1.0,1.0,100.0
DoS,0.9900990099009901,1.0,0.9950248756218906,100.0
Node Compromise,1.0,0.97,0.9847715736040609,100.0
accuracy,0.9942857142857143,0.9942857142857143,0.9942857142857143,0.9942857142857143
macro avg,0.9943558809662479,0.9942857142857143,0.9942707798752773,700.0
weighted avg,0.9943558809662478,0.9942857142857143,0.9942707798752772,700.0
